GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.022707488,0.037651286,0.018966291,0.024248213,0.031621862,0.044724945,0.02542613,0.03707926,0.03218603,0.06435182,0.030649658,0.034715757,0.03983263,0.031414993,0.035158772,0.028544117,0.018410677,0.051093493,0.018084357,0.029772442
0.16637617,0.29048485,0.16473952,0.21698266,0.12105857,0.30248582,0.11936976,0.29198727,0.118703455,0.41647044,0.108885355,0.29396912,0.11167255,0.11794536,0.10107794,0.14244175,0.15003811,0.3075228,0.12437161,0.23784539
0.18507876,0.10056749,0.1700375,0.10409288,0.23224792,0.05997144,0.2193746,0.05761335,0.2395249,0.010538408,0.24454288,0.053866982,0.2253213,0.24635193,0.24691722,0.12587364,0.16597275,0.06617718,0.17404117,0.072679944
0.011976701,0.032973897,0.01012677,0.01970381,0.01239774,0.032214113,0.01132854,0.045363344,0.012086598,0.14069872,0.011625556,0.052317306,0.013600267,0.047508694,0.013538745,0.014067082,0.009704826,0.043498073,0.01055627,0.022621937
0.014109957,0.027269525,0.013540498,0.020049386,0.013404801,0.027216733,0.014301854,0.043674383,0.013214722,0.15583086,0.014113989,0.056920238,0.013199654,0.058503922,0.01520087,0.017896503,0.013202569,0.038273323,0.015259203,0.022223188
0.022958552,0.042804565,0.020261696,0.02959502,0.023077598,0.041147105,0.022544323,0.048431184,0.023739588,0.1658399,0.022836586,0.0724835,0.023652585,0.06256403,0.02321983,0.028490573,0.019609367,0.05422136,0.021186117,0.03192965
1.1060162,0.8786162,1.1722991,1.0274049,1.194796,0.90060496,1.2724012,0.9569369,1.1974269,0.73180544,1.25539,0.8449773,1.1226213,1.212311,1.2508616,1.0675824,1.1511025,0.85113883,1.2834901,1.0083412
0.019362563,0.0064470517,0.041826498,0.028481178,0.04812606,0.023303833,0.07641048,0.02080693,0.04571899,0.0053763753,0.06327823,0.008317696,0.03372959,0.13807549,0.06192598,0.042812146,0.04813879,0.012421662,0.11284668,0.040610254
0.96748835,0.8451346,1.1158563,1.07908,1.1437643,1.0603336,1.2903007,1.046405,1.1330649,0.82136005,1.1995392,0.8047411,1.0550668,1.3986255,1.2293842,1.1364236,1.1568985,0.8831715,1.4525839,1.1692331
0.6894977,0.62886494,0.9066865,0.96409905,0.8611845,0.9722768,1.0686634,0.97776455,0.84124005,0.8929203,0.98110145,0.8243918,0.8776667,1.1002085,1.0541136,1.0771021,0.94400036,0.7243678,1.3792005,1.1432893
4.495864,4.449153,5.226507,5.603365,5.0761695,5.7521496,5.708921,5.6625204,4.996944,5.8289304,5.747963,5.5373106,5.6680837,5.787308,5.7478757,5.8621464,5.413635,4.9145093,6.687806,6.25232
0.14558135,0.08950428,0.11806373,0.17928335,0.08710965,0.2599653,0.14965342,0.19546886,0.102726564,0.39810482,0.21867137,0.30609062,0.2225341,0.26959535,0.16010454,0.30989328,0.09755214,0.084730335,0.41896924,0.393497
0.6284497,0.6079647,0.33934373,0.17912675,0.2414728,0.15566798,0.14263164,0.15775749,0.45030802,0.099971294,0.12694266,0.10259017,0.1215999,0.1713448,0.11400296,0.11278782,0.2476842,0.32374755,0.08394308,0.08859073
