model,layers,estimation,hidden,lr,epochs,seed,valid_mse,valid_qlike,test_mse_diagnostic,test_qlike_diagnostic,selected
GNNHAR1L-IV,1,MSE,64,0.0003,300,20260605,3.8022100925445557,0.0029061674140393734,4.394510746002197,0.003926482982933521,False
GNNHAR1L-IV,1,MSE,64,0.0003,500,20260605,1.8929369449615479,0.001635654945857823,2.2802679538726807,0.0021156389266252518,False
GNNHAR1L-IV,1,MSE,64,0.001,250,20260605,1.4839681386947632,0.001237310003489256,1.3926184177398682,0.0012391094351187348,False
GNNHAR1L-IV,1,MSE,64,0.001,300,20260605,1.3948266506195068,0.001155099831521511,1.2733129262924194,0.0011010563466697931,False
GNNHAR1L-IV,1,MSE,64,0.001,500,20260605,1.1412386894226074,0.0009463486494496465,1.095402479171753,0.0008973624208010733,False
GNNHAR1L-IV,1,MSE,64,0.003,250,20260605,1.0553878545761108,0.0009021912119351327,1.0339001417160034,0.0008592273807153106,False
GNNHAR1L-IV,1,MSE,64,0.003,300,20260605,1.0155237913131714,0.0008628998184576631,1.0287383794784546,0.000850269861984998,False
GNNHAR1L-IV,1,MSE,64,0.003,500,20260605,0.9576939344406128,0.0008075514924712479,1.0368977785110474,0.0008348203264176846,True
GNNHAR2L-IV,2,MSE,8,0.0003,250,20260606,7.293551445007324,0.005294377915561199,7.88275146484375,0.006294949911534786,False
GNNHAR2L-IV,2,MSE,8,0.0003,300,20260606,5.769550323486328,0.004389828536659479,6.769840717315674,0.005356371868401766,False
GNNHAR2L-IV,2,MSE,8,0.0003,500,20260606,2.5309054851531982,0.002083394443616271,2.949748992919922,0.002411570167168975,False
GNNHAR2L-IV,2,MSE,8,0.001,250,20260606,1.5034265518188477,0.0012345666764304042,1.55525803565979,0.0012329512974247336,False
GNNHAR2L-IV,2,MSE,8,0.001,300,20260606,1.3101930618286133,0.0010745582403615117,1.4128679037094116,0.001102315029129386,False
GNNHAR2L-IV,2,MSE,8,0.001,500,20260606,1.0551813840866089,0.0008717270684428513,1.179774522781372,0.0009080074378289282,False
GNNHAR2L-IV,2,MSE,8,0.003,250,20260606,1.0106265544891357,0.0008531592902727425,0.9563755989074707,0.0008050642791204154,False
GNNHAR2L-IV,2,MSE,8,0.003,300,20260606,0.9658930897712708,0.0008211872191168368,0.9215095043182373,0.0007687407196499407,False
GNNHAR2L-IV,2,MSE,8,0.003,500,20260606,0.9146042466163635,0.0007879330078139901,0.9025534391403198,0.0007442673668265343,False
GNNHAR2L-IV,2,MSE,16,0.0003,250,20260606,12.186485290527344,0.006309337913990021,10.668683052062988,0.007211427669972181,False
GNNHAR2L-IV,2,MSE,16,0.0003,300,20260606,9.362824440002441,0.005124920513480902,8.265427589416504,0.005724416580051184,False
