GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.025381137,0.02381128,0.028944254,0.023146292,0.02420653,0.024667807,0.028589975,0.024363132,0.026492989,0.024801811,0.027592687,0.023430765,0.025397483,0.022556214,0.029227909,0.021334091,0.0273187,0.027875045,0.028532045,0.022529475,0.026273588,0.025009135,0.029605592,0.023527075,0.027313551,0.022134332,0.031430088,0.021754097
0.009763006,0.00946151,0.009683013,0.009307158,0.010313285,0.010110855,0.009683518,0.009512623,0.010028219,0.010045989,0.009872019,0.009172285,0.010137959,0.0097766435,0.00964735,0.009359924,0.00983311,0.009880984,0.009666828,0.00907385,0.009879053,0.009807114,0.009690229,0.009175845,0.009600175,0.009936357,0.009973959,0.009139725
0.004012867,0.004557967,0.0046009063,0.0044241548,0.0043861666,0.005818395,0.0044905106,0.004436946,0.0043583554,0.005546753,0.003991433,0.004726799,0.0044882656,0.005382073,0.0045524198,0.0042295177,0.0045529446,0.0071105044,0.0043103895,0.0041142385,0.004379221,0.00529176,0.0047249477,0.004362357,0.004182585,0.004495235,0.004826196,0.004159208
0.0043849307,0.0038894573,0.00390323,0.003880473,0.004502555,0.0039284984,0.0039174953,0.0038351298,0.004356698,0.0035959124,0.004173994,0.0039103944,0.00447789,0.0037053307,0.0040075383,0.0040622554,0.0042083263,0.00428137,0.0039390284,0.0041244943,0.004322088,0.003707997,0.003997147,0.003920412,0.004425474,0.0045353174,0.0037100592,0.004240946
0.0036248723,0.0039207577,0.002718834,0.0031957945,0.0039283633,0.0048971893,0.002753381,0.0033609152,0.004041175,0.004394257,0.003019627,0.0031478922,0.0041046184,0.0044846176,0.0027864934,0.003155128,0.0040141027,0.005657216,0.0028597235,0.0031454721,0.0040328144,0.0043958663,0.0027651072,0.0032570164,0.004053001,0.0039464473,0.0029465675,0.0031044285
0.0058268746,0.0060091377,0.005719594,0.0053512137,0.006027643,0.006850362,0.0057067554,0.005546582,0.0057772836,0.0064255833,0.00520194,0.0050855954,0.0057817576,0.006448261,0.0054572304,0.0047225556,0.0059609413,0.007784776,0.0054106354,0.0048832456,0.0058541456,0.0061443886,0.005407329,0.0052134157,0.006000062,0.005607919,0.0056257844,0.0048877676
0.0053388835,0.0048449836,0.004500902,0.004530565,0.0058208783,0.0053077894,0.004515334,0.0044235825,0.005872039,0.0044020256,0.005146706,0.0045588175,0.005695315,0.004906678,0.0045340457,0.0047003427,0.005391411,0.0047899564,0.00491693,0.004620111,0.0053845006,0.004906257,0.0044578193,0.004539573,0.004780507,0.0052758334,0.004095912,0.0046068826
0.02013398,0.019250182,0.020986812,0.021496784,0.020190183,0.020739993,0.02089849,0.02202934,0.020350194,0.02012676,0.020417707,0.020721126,0.02018546,0.019043695,0.020652158,0.020685276,0.020415727,0.018818427,0.020422792,0.019991254,0.020370813,0.020134652,0.020772997,0.020870265,0.02035094,0.019291986,0.02106562,0.020182554
0.0055924454,0.004455745,0.0055339336,0.004584968,0.0061015687,0.0046428484,0.005454016,0.0046159863,0.0065719765,0.004525717,0.0059529105,0.004855871,0.006474614,0.0045420686,0.005811425,0.0045705517,0.006386606,0.004542442,0.0059641125,0.004679652,0.006313805,0.0044642766,0.006015591,0.004558921,0.0055476823,0.0045983316,0.005738906,0.0046075583
0.0026060422,0.002819387,0.0024829349,0.002288842,0.0031268238,0.002910308,0.0024448116,0.0022903362,0.0034495075,0.0028093418,0.0030002038,0.0024447718,0.0031545043,0.0027866045,0.0026968122,0.002200961,0.0030671994,0.0027047952,0.0028219342,0.0022260349,0.0028961818,0.0026913723,0.0028047403,0.002226599,0.002360507,0.00284518,0.0025305788,0.0021817207
