GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.35265878,0.2387872,0.33538973,0.37755907,0.35155708,0.25179783,0.33205944,0.3734718,0.35944504,0.21392018,0.33562616,0.39144376,0.35005283,0.21282195,0.33422083,0.36373928,0.35412437,0.2516584,0.33768544,0.38818666,0.3378205,0.22106221,0.32842624,0.3842694,0.3300249,0.21037002,0.28440434,0.36045277
0.07187411,0.04474707,0.06872525,0.049693696,0.08110449,0.035063047,0.070059724,0.05053382,0.08243796,0.04218113,0.07468425,0.057264045,0.08373907,0.045422785,0.07274222,0.044325132,0.0840663,0.031241413,0.06714444,0.055188444,0.07928366,0.032212127,0.06391867,0.054433893,0.065129004,0.038954932,0.049302142,0.047454543
0.18883848,0.111043535,0.19017546,0.20626341,0.19948244,0.11028164,0.19097137,0.20305295,0.20367114,0.09800287,0.201398,0.22639704,0.20314527,0.10255179,0.19592145,0.19335774,0.20477456,0.11601976,0.18790984,0.2172015,0.19385694,0.09400365,0.18143287,0.21861249,0.17102338,0.08045969,0.14392973,0.19479582
0.17565526,0.21361682,0.17637229,0.18922964,0.17421064,0.19593309,0.17619656,0.18712436,0.17146732,0.18496428,0.17348465,0.18796954,0.1736255,0.20193987,0.17681636,0.18459208,0.17179163,0.17707127,0.17509612,0.1825399,0.17165658,0.18123052,0.17675875,0.19082369,0.17329082,0.21733904,0.1778405,0.18175776
0.32888848,0.28149837,0.35426274,0.34120756,0.34004888,0.27879685,0.357295,0.32873216,0.3458322,0.2852138,0.3677124,0.3566267,0.3506661,0.2888492,0.36260906,0.33965138,0.3520522,0.28441867,0.35383412,0.32978123,0.35291383,0.28697738,0.35235798,0.35381785,0.3329239,0.2820738,0.34243378,0.34370404
0.041488364,0.06505459,0.027674891,0.06363218,0.036757305,0.04451156,0.026952395,0.055885933,0.036244903,0.038889088,0.026121702,0.069729246,0.03549101,0.04475965,0.027789315,0.056289416,0.03690422,0.033852164,0.02841357,0.05997694,0.032126836,0.03006563,0.02775294,0.07094877,0.035866853,0.048206676,0.021801228,0.045804624
0.05659871,0.09236308,0.045253042,0.10513869,0.054781776,0.07732964,0.04483087,0.09068484,0.05313216,0.07379898,0.044939052,0.112116694,0.054180883,0.07284315,0.045418013,0.10077844,0.054724358,0.062271502,0.045089282,0.095458366,0.049029604,0.0704855,0.043505125,0.11284045,0.04787983,0.08139316,0.033501286,0.086568944
0.30822036,0.31151003,0.28660604,0.41077197,0.29730552,0.29919726,0.28481025,0.38269407,0.30263022,0.2623044,0.28382033,0.42184862,0.29688367,0.2673735,0.28612247,0.3966935,0.30173472,0.26933548,0.28633916,0.387896,0.2849805,0.28339657,0.28144282,0.41826528,0.28631273,0.27212238,0.24277118,0.37614074
0.037160423,0.10966372,0.0374702,0.030527322,0.035573047,0.07943954,0.037535723,0.030914865,0.032067142,0.08152818,0.034834657,0.025769036,0.036249485,0.07161853,0.037643217,0.02811504,0.034953497,0.06042795,0.037170358,0.027345782,0.037619673,0.061342243,0.041675884,0.028802926,0.04392581,0.11301964,0.060847472,0.02764504
0.023611816,0.073674016,0.017411944,0.05075212,0.021460388,0.052810863,0.015853014,0.051715124,0.01665618,0.05450174,0.015473508,0.058214836,0.02104638,0.04381955,0.016541779,0.051092114,0.020563053,0.045647368,0.01699838,0.05076977,0.020579642,0.046170797,0.01368771,0.052603923,0.019421315,0.06300432,0.008828978,0.044995382
0.2966809,0.3959778,0.30060834,0.35762066,0.28778416,0.3770404,0.29823384,0.35200167,0.27631673,0.36858878,0.30298364,0.35400867,0.29402727,0.36258215,0.29762128,0.3561193,0.29116935,0.36526585,0.30371532,0.35445955,0.2909302,0.36671674,0.30184016,0.35438627,0.29939038,0.3885322,0.30503595,0.34885997
0.38368073,0.16161783,0.36695993,0.30096915,0.3623443,0.1498678,0.35857594,0.3056879,0.33885816,0.1599353,0.36098,0.33789918,0.36104918,0.18915953,0.36565503,0.31076306,0.35564795,0.18562552,0.36882713,0.33405587,0.33986455,0.17970794,0.34750935,0.32619017,0.37292644,0.15685992,0.3141895,0.29914677
0.11091512,0.16207962,0.09633292,0.1354571,0.11221239,0.14340718,0.09445327,0.1434431,0.111267164,0.14051056,0.09324275,0.15719905,0.11118975,0.116877176,0.098402664,0.1445224,0.11252247,0.1096815,0.096054934,0.14075103,0.112749614,0.10759606,0.08998165,0.14643304,0.10238334,0.15258953,0.07586574,0.1379181
0.12187233,0.13548222,0.11327561,0.15044127,0.12341784,0.12154562,0.11175526,0.17262904,0.122163646,0.1331121,0.10563461,0.18096574,0.11866401,0.1258398,0.11527637,0.15587734,0.12072953,0.14190026,0.109766155,0.1630518,0.117794074,0.12551814,0.102647096,0.17074586,0.11524461,0.12156405,0.09080494,0.14540714
0.051393766,0.100132056,0.038889516,0.07942526,0.05610256,0.0847447,0.03796233,0.091232166,0.06113107,0.09861699,0.033940673,0.10234499,0.052954476,0.078013815,0.04057204,0.08643137,0.056647666,0.0734999,0.036053117,0.085200034,0.057919867,0.07110076,0.03178702,0.09168837,0.043262143,0.09163274,0.021099608,0.08014486
0.08019409,0.08433273,0.07055414,0.08851751,0.08436132,0.07613791,0.06917981,0.09972385,0.08602056,0.08514479,0.06261902,0.1125994,0.078035355,0.07704072,0.07152454,0.09174164,0.08088448,0.08552766,0.06553559,0.09983047,0.078906305,0.07276704,0.059027612,0.103466414,0.07189339,0.07933517,0.047276996,0.09046645
0.14329462,0.1982993,0.14251752,0.1469033,0.14499743,0.17353469,0.14185722,0.15336098,0.14194277,0.19247931,0.13663621,0.16003317,0.14034936,0.17062327,0.13998167,0.14960758,0.14088683,0.17554237,0.13796382,0.15161003,0.1399596,0.16763154,0.13517906,0.15432142,0.14071779,0.18389228,0.13794397,0.1466816
