GHAR2H_M,GHAR2H_M_IV,GHAR3H_M,GHAR3H_M_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.0052657994,0.005050527,0.0053512775,0.005018376,0.0049855825,0.005144003,0.0044513205,0.004537264,0.004929385,0.0051309196,0.004506833,0.0045026946,0.0050559225,0.005033485,0.0047539314,0.0045338646,0.0052786726,0.0049746637,0.004757255,0.0045611793,0.0054559316,0.005065171,0.0047837812,0.0045352075,0.005205001,0.004905554,0.004767321,0.00462378,0.0049638445,0.005122782,0.004312636,0.004564508
0.02611003,0.024006644,0.026234496,0.023993168,0.025781427,0.024048418,0.02599101,0.023840737,0.025599636,0.023731,0.026096532,0.02384367,0.025793908,0.023589592,0.02629795,0.023812456,0.025930623,0.023846306,0.026271764,0.024045892,0.026289929,0.024269717,0.026320336,0.023834849,0.026050048,0.023565317,0.026307724,0.024019614,0.026325304,0.024359632,0.026180943,0.023952756
0.03416465,0.034365676,0.034333315,0.03437255,0.034269135,0.03443362,0.03512959,0.034646202,0.034518663,0.035307687,0.035075735,0.03470046,0.03444712,0.036254127,0.03504522,0.03503227,0.03403725,0.035177235,0.034995023,0.034416817,0.034093935,0.038208492,0.03471474,0.034806937,0.034045868,0.036741655,0.03498664,0.034623522,0.035468217,0.034282748,0.035844184,0.034123998
0.014701908,0.016964702,0.014768388,0.017068155,0.014652752,0.016957171,0.014136908,0.014255961,0.014677868,0.017123843,0.014160946,0.014298877,0.014604977,0.018126195,0.014085641,0.014250966,0.014905966,0.018358046,0.01410376,0.014064814,0.014796216,0.016319824,0.014154805,0.014172445,0.014558153,0.018708356,0.014112331,0.014234869,0.014829845,0.017634345,0.014289915,0.014305851
0.002706563,0.0043663653,0.0027880853,0.0044730916,0.002560423,0.004308699,0.0018495701,0.0015196905,0.0024585947,0.0040888223,0.0019276063,0.0014964237,0.0023147825,0.004439528,0.001746179,0.0014633215,0.00302776,0.004600876,0.0017633294,0.0016057478,0.0028971604,0.0042011817,0.001983885,0.0014739508,0.0026468392,0.004785484,0.001741915,0.0015032409,0.0026896473,0.005053739,0.0018990027,0.0017072997
0.0036361662,0.0047897114,0.003868137,0.0048315525,0.003455821,0.004806944,0.003083918,0.0027852752,0.0033517617,0.004710863,0.00314592,0.002768151,0.003447437,0.004863207,0.0029867035,0.0027459585,0.003881854,0.0048937863,0.002992469,0.0028672519,0.003853304,0.0065694666,0.003158268,0.0028113192,0.0037754264,0.005304402,0.002982987,0.0028070644,0.0044445926,0.0052056103,0.0033654014,0.0027228254
0.010773791,0.0110334065,0.010945785,0.011078869,0.010557789,0.011033829,0.010755133,0.009646916,0.010375065,0.010973901,0.010835902,0.009660792,0.010346038,0.010872357,0.010593451,0.009585461,0.010749949,0.011066275,0.010661622,0.009727397,0.010742164,0.012762325,0.010836591,0.009670454,0.010815269,0.011161253,0.010636555,0.009616316,0.011579384,0.01158539,0.011078142,0.009693513
0.009890469,0.009513648,0.010063947,0.009540905,0.0097178025,0.009519969,0.009907213,0.008677707,0.00967097,0.009579875,0.009949803,0.008692132,0.01002825,0.01094746,0.009895263,0.008959127,0.009887995,0.0126378415,0.009903473,0.008789755,0.01000057,0.01050087,0.009963921,0.008797329,0.010150446,0.010795333,0.009901123,0.008840216,0.01114356,0.009921242,0.010316645,0.00859428
0.03580615,0.032392815,0.036383882,0.032379497,0.035282835,0.0324023,0.035333708,0.030983733,0.034550585,0.031388562,0.03560391,0.030998828,0.033882756,0.02923269,0.034880795,0.030321065,0.034695815,0.029700996,0.035179537,0.0308133,0.035193633,0.02947074,0.035628427,0.03116658,0.035173252,0.0298517,0.035107907,0.030424155,0.036975294,0.033655453,0.03558557,0.031478304
0.039254382,0.035705622,0.03833929,0.035743162,0.039440118,0.036098592,0.038829327,0.035447806,0.040925983,0.038949836,0.038626622,0.035234958,0.039489284,0.039589413,0.039074235,0.03615597,0.038584076,0.039470345,0.039165962,0.035763312,0.03884641,0.040915616,0.038580373,0.035170157,0.039460354,0.041035134,0.038874086,0.035648067,0.039568003,0.035583034,0.039208442,0.034363754
