model,layers,estimation,hidden,lr,epochs,seed,valid_mse,valid_qlike,test_mse_diagnostic,test_qlike_diagnostic,selected
GNNHAR3L-IV,3,MSE,16,0.0003,250,20260607,9.77273941040039,0.006279633846133947,9.750045776367188,0.007954739034175873,False
GNNHAR3L-IV,3,MSE,16,0.0003,300,20260607,7.1987762451171875,0.004899810999631882,7.154935836791992,0.005598055198788643,False
GNNHAR3L-IV,3,MSE,16,0.0003,500,20260607,2.244284152984619,0.0018525245832279325,2.2337486743927,0.002141897100955248,False
GNNHAR3L-IV,3,MSE,16,0.001,250,20260607,1.703593373298645,0.001390179619193077,1.8185056447982788,0.0016558067873120308,False
GNNHAR3L-IV,3,MSE,16,0.001,300,20260607,1.6069260835647583,0.001289817038923502,1.667063593864441,0.0015292097814381123,False
GNNHAR3L-IV,3,MSE,16,0.001,500,20260607,1.107500433921814,0.0009682739619165659,1.1527420282363892,0.0010420308681204915,False
GNNHAR3L-IV,3,MSE,16,0.003,250,20260607,1.1714255809783936,0.0010142943356186152,1.3373956680297852,0.001118818181566894,False
GNNHAR3L-IV,3,MSE,16,0.003,300,20260607,1.0875775814056396,0.0009542183252051473,1.252225399017334,0.0010487745748832822,False
GNNHAR3L-IV,3,MSE,16,0.003,500,20260607,0.9697932600975037,0.0008584187598899007,1.093509554862976,0.0009193745208904147,False
GNNHAR3L-IV,3,MSE,32,0.0003,250,20260607,2.468212366104126,0.0018342413241043687,2.537281036376953,0.002129646949470043,False
GNNHAR3L-IV,3,MSE,32,0.0003,300,20260607,1.9427989721298218,0.0014447018038481474,2.210174560546875,0.0019234645878896117,False
GNNHAR3L-IV,3,MSE,32,0.0003,500,20260607,1.0644030570983887,0.0009166293311864138,1.486219048500061,0.0013436012668535113,False
GNNHAR3L-IV,3,MSE,32,0.001,250,20260607,1.003716230392456,0.0008673873380757868,1.2879678010940552,0.001078049885109067,False
GNNHAR3L-IV,3,MSE,32,0.001,300,20260607,0.9672989845275879,0.0008409465081058443,1.2104464769363403,0.0009878138080239296,False
GNNHAR3L-IV,3,MSE,32,0.001,500,20260607,0.9395623803138733,0.0008238534792326391,1.1511719226837158,0.0008934403886087239,False
GNNHAR3L-IV,3,MSE,32,0.003,250,20260607,0.9622855186462402,0.0008181811426766217,1.0584990978240967,0.000856278114952147,False
GNNHAR3L-IV,3,MSE,32,0.003,300,20260607,0.941209614276886,0.0008072620839811862,1.0036234855651855,0.0008230437524616718,False
GNNHAR3L-IV,3,MSE,32,0.003,500,20260607,0.9213665127754211,0.0007928150589577854,1.0772839784622192,0.0008253311389125884,False
GNNHAR3L-IV,3,MSE,64,0.0003,250,20260607,1.4075244665145874,0.0011021745158359408,1.416935682296753,0.0012359629618003964,False
GNNHAR3L-IV,3,MSE,64,0.0003,300,20260607,1.247994303703308,0.001000974210910499,1.2599369287490845,0.0010782948229461908,False
GNNHAR3L-IV,3,MSE,64,0.0003,500,20260607,1.0626660585403442,0.0008777286857366562,1.0344302654266357,0.0008525928133167326,False
GNNHAR3L-IV,3,MSE,64,0.001,250,20260607,1.0240355730056763,0.0008600034052506089,1.066334843635559,0.0008800531504675746,False
GNNHAR3L-IV,3,MSE,64,0.001,300,20260607,0.9953991770744324,0.000841811066493392,1.037880301475525,0.0008436922798864543,False
GNNHAR3L-IV,3,MSE,64,0.001,500,20260607,0.9724711179733276,0.0008281645132228732,1.0293842554092407,0.0008257183362729847,False
GNNHAR3L-IV,3,MSE,64,0.003,250,20260607,0.938399076461792,0.0008036016370169818,0.9633407592773438,0.0008156299008987844,False
GNNHAR3L-IV,3,MSE,64,0.003,300,20260607,0.938399076461792,0.0008036016370169818,0.9633407592773438,0.0008156299008987844,False
GNNHAR3L-IV,3,MSE,64,0.003,500,20260607,0.8979775309562683,0.000780001631937921,0.9601357579231262,0.0007853762363083661,True
GNNHAR1L-IV+fakeIV,1,MSE,8,0.0003,250,20260608,47.84058380126953,0.028287947177886963,32.03525924682617,0.024003852158784866,False
GNNHAR1L-IV+fakeIV,1,MSE,8,0.0003,300,20260608,33.22682189941406,0.01870512217283249,22.652084350585938,0.01720200479030609,False
GNNHAR1L-IV+fakeIV,1,MSE,8,0.0003,500,20260608,10.153940200805664,0.006134564522653818,12.027044296264648,0.008973952382802963,False
GNNHAR1L-IV+fakeIV,1,MSE,8,0.001,250,20260608,5.650504112243652,0.003951710648834705,10.24828815460205,0.007079893723130226,False
GNNHAR1L-IV+fakeIV,1,MSE,8,0.001,300,20260608,5.027350902557373,0.0035676711704581976,9.018500328063965,0.006328605115413666,False
GNNHAR1L-IV+fakeIV,1,MSE,8,0.001,500,20260608,3.1816797256469727,0.002402479760348797,5.082554817199707,0.003850078210234642,False
GNNHAR1L-IV+fakeIV,1,MSE,8,0.003,250,20260608,2.2691285610198975,0.0017582555301487446,3.0896060466766357,0.0023648501373827457,False
GNNHAR1L-IV+fakeIV,1,MSE,8,0.003,300,20260608,1.98203444480896,0.0015197424218058586,2.4850106239318848,0.001919410191476345,False
GNNHAR1L-IV+fakeIV,1,MSE,8,0.003,500,20260608,1.519968032836914,0.001182965119369328,2.0032660961151123,0.0016321759903803468,False
GNNHAR1L-IV+fakeIV,1,MSE,16,0.0003,250,20260608,6.986475944519043,0.005768464412540197,8.48367977142334,0.007845543324947357,False
