GHAR2H_M,GHAR2H_M_IV,GHAR2H_Q,GHAR2H_Q_IV,GHAR3H_M,GHAR3H_M_IV,GHAR3H_Q,GHAR3H_Q_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.0020579107,0.0022123014,0.015158895,0.013331458,0.0020726447,0.003023341,0.015205035,0.013315966,0.0020703983,0.002111815,0.015124659,0.013353066,0.075853854,0.07595061,0.054667916,0.054431472,0.075773396,0.07590252,0.054499194,0.054306496,0.07586638,0.07586728,0.05464511,0.054400574,0.07576662,0.07592541,0.0546152,0.054497615,0.07585546,0.07589789,0.054615557,0.054433614,0.0021767148,0.002194181,0.015596128,0.013846733
0.004401793,0.0044503473,0.017969001,0.015985334,0.0043820115,0.005410241,0.017958382,0.016025858,0.0044296766,0.004483318,0.01805566,0.016195765,0.07869559,0.07869353,0.057166956,0.056864433,0.07862881,0.078580104,0.057041287,0.05666534,0.07871749,0.078704596,0.057109952,0.056803804,0.07863096,0.07866246,0.057106525,0.056711175,0.07867481,0.07902747,0.057120714,0.056780204,0.004482885,0.004511001,0.01841755,0.016379561
0.00094259664,0.0011650544,0.0137713235,0.012224287,0.0009481264,0.0019781198,0.01373393,0.01222919,0.000952162,0.0011667289,0.013801301,0.0123219015,0.07448841,0.07458512,0.053365696,0.05316273,0.07444806,0.074578986,0.05325303,0.05303868,0.07446969,0.07456334,0.05334237,0.053118628,0.07444526,0.0746033,0.053330947,0.053097576,0.07447173,0.07458727,0.053381853,0.05313393,0.0009818865,0.001211219,0.014343455,0.01279969
0.0010364217,0.0011177809,0.014278573,0.012719509,0.0010451174,0.0017053393,0.014243398,0.01274122,0.001032704,0.001117906,0.014223576,0.012758814,0.073635586,0.07368737,0.05270655,0.05252387,0.07360953,0.073729485,0.05264809,0.052415125,0.07364354,0.0736745,0.05275766,0.052524135,0.0736172,0.07371371,0.05271606,0.05251934,0.07364829,0.073689125,0.052799158,0.052548695,0.001028234,0.0011427118,0.014701666,0.013328868
0.005579158,0.0050464557,0.01825748,0.016240023,0.0056019234,0.005577648,0.018178158,0.01628208,0.00555009,0.0050534066,0.018176068,0.016299175,0.076065876,0.07611648,0.055433817,0.05519674,0.07608427,0.07610873,0.055391155,0.055158142,0.07607356,0.076119125,0.05548316,0.05521273,0.07608183,0.07615347,0.05547539,0.055191673,0.076057725,0.076177225,0.055541337,0.055236842,0.005601368,0.00509521,0.01864679,0.016910518
0.0019293472,0.0019477492,0.016452225,0.014689057,0.0019335096,0.0024845721,0.016427295,0.014706349,0.0019445915,0.0019496592,0.016483031,0.01483489,0.07778939,0.0778979,0.05696344,0.056749474,0.077746935,0.07783738,0.05683291,0.056585766,0.07777269,0.077878505,0.056955952,0.056725796,0.07773979,0.0778434,0.056899972,0.05669673,0.07778004,0.07787472,0.05697856,0.056734256,0.0020095466,0.0019948552,0.016957257,0.015471596
0.0065849205,0.0068118675,0.020611791,0.018761534,0.006573649,0.0074356203,0.02054916,0.018779071,0.0066273143,0.006854456,0.020535676,0.018885398,0.09196504,0.09218716,0.0682496,0.0680883,0.09174409,0.09188474,0.06791346,0.067735255,0.091876514,0.09211702,0.068071984,0.06796048,0.091778606,0.09192994,0.06801053,0.06792481,0.09189896,0.091982804,0.068114765,0.06800045,0.0067774076,0.006907513,0.02094918,0.019528616
0.0019228759,0.0022581697,0.016834708,0.015045622,0.0018686781,0.0030349686,0.016803177,0.015034993,0.0019917642,0.0023171357,0.017029071,0.015367093,0.08903092,0.0890838,0.0652825,0.06502717,0.08903043,0.08904061,0.06516684,0.06485306,0.08904722,0.08908088,0.065279946,0.064983286,0.08904049,0.089054175,0.06525505,0.0649473,0.08905138,0.08904644,0.06533438,0.06501132,0.001998102,0.002327932,0.01748235,0.016100578
0.004843049,0.0047211265,0.019851806,0.017683353,0.0048272875,0.0054127933,0.019824063,0.017680686,0.004876972,0.0047634183,0.019927086,0.017907841,0.089778766,0.08976144,0.066322446,0.06597671,0.08978518,0.08974091,0.06628985,0.06588331,0.08978112,0.08975121,0.066410206,0.06599582,0.08984794,0.0897793,0.06643045,0.06599599,0.0898252,0.08974598,0.06650076,0.06603972,0.004899332,0.004793751,0.020364428,0.018597927
0.0019063328,0.002029664,0.018088797,0.015994264,0.0018808983,0.0026846784,0.01808646,0.01602528,0.0019417033,0.0020808433,0.018130925,0.01623105,0.085923076,0.08586094,0.06389423,0.06351524,0.08586338,0.08578593,0.06386247,0.06337916,0.08595281,0.08584365,0.063950635,0.06351335,0.085900135,0.08580018,0.063954234,0.063490845,0.08596715,0.08582434,0.064038865,0.06355411,0.0019966438,0.0021109413,0.018473955,0.016881838
